doi,name,affiliation,publisher,type
10.31217/p.32.1.11,"Zadel, Zrinka","akultet za menadžment u turizmu i ugostiteljstvu u Opatiji, Ika, Hrvatska","University of Rijeka, Faculty of Maritime Studies",JOUR
10.31823/d.26.3.7,"Šota, Stanislav",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.31727/m.19.6.5,"Krešić, Greta","Fakultet za menadžment u turizmu i ugostiteljstvu Opatija, Sveučilište u Rijeci",Zadruzna Stampa D.D.,JOUR
10.1080/00295639.2018.1455437,"Chudoba, P.","Nuclear Physics Institute of the Czech Academy of Sciences, Public Research Institution, Hlavní 130, 250 68 Řež, Czech Republic; Charles University, Faculty of Mathematics and Physics, Ke Karlovu 3, 121 16 Praha 2, Czech Republic",Informa UK Limited,JOUR
10.1021/acs.inorgchem.8b02499,"Havela, Ladislav","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 5, 12116 Prague, Czech Republic",American Chemical Society (ACS),JOUR
10.1063/1.5024132,"Kunc, J.","Institute of Physics, Charles University, Faculty of Mathematics and Physics, Ke Karlovu 5, Prague 2 CZ-121 16, Czech Republic",AIP Publishing,JOUR
10.1021/acs.jpclett.8b02271,"Malý, Pavel","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 5, CZ-12116 Prague 2, Czech Republic; Faculty of Science, Vrije Universiteit Amsterdam, De Boelelaan 1081, 1081 HV Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1111/fme.12309,"Mulimbwa, N'sibula",Centre de Recherche en Hydrobiologie (C.R.H) Uvira Sud‐Kivu Congo,Wiley,JOUR
10.1093/cercor/bhy342,"Pijnenburg, Rory","Connectome Lab, Department of Complex Trait Genetics, Center for Neurogenomics and Cognitive Research, Faculty of Science, Vrije Universiteit Amsterdam, Amsterdam Neuroscience, De Boelelaan 1081-1087, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1093/qjmed/hcy147,"Nakitende, I","Department of Medicine, Enrolled Midwife, Kitovu Hospital, Masaka, Uganda",Oxford University Press (OUP),JOUR
10.1063/1.5023183,"Janda, T.","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 121 16 Prague 2, Czech Republic; Institute of Physics ASCR, v.v.i., Cukrovarnická 10, 162 53 Prague 6, Czech Republic",AIP Publishing,JOUR
10.1002/jrs.5533,"Rejhon, Martin","Faculty of Mathematics and Physics, Institute of PhysicsCharles University Ke Karlovu 5 CZ‐121 16 Prague 2 Czech Republic",Wiley,JOUR
10.1002/ejic.201800341,"Šebesta, Filip",Department of Chemical Physics and Optics; Faculty of Mathematics and Physics; Charles University; Ke Karlovu 3 121 16 Prague 2 Czech Republic,Wiley,JOUR
10.1063/1.5063850,"Rejhon, M.","Institute of Physics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 5, CZ-121 16 Prague 2, Czech Republic",AIP Publishing,JOUR
10.1002/cphc.201800691,"Yourdkhani, Sirous","Department of Chemical Physics and Optics; Faculty of Mathematics and Physics; Charles University; Ke Karlovu 3, CZ- 12116 Prague 2 Czech Republic; Faculty of Chemistry; University of Warsaw; ul. Pasteura 1 02-093 Warsaw Poland",Wiley,JOUR
10.1063/1.5037979,"Valenta, Jan","Department of Chemical Physics &amp; Optics, Faculty of Mathematics &amp; Physics, Charles University, Ke Karlovu 3, CZ-121 16 Prague 2, Czechia",AIP Publishing,JOUR
10.1021/acs.jpcb.8b06751,"Vinklárek, Ivo S.","Department of Chemical Physics and Optics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 121 16 Prague 2, Czech Republic",American Chemical Society (ACS),JOUR
10.1021/acs.jpcc.8b07394,"Modrzejewski, Marcin","Faculty of Chemistry, University of Warsaw, Pasteura 1, Warsaw 02-093 Poland; Department of Chemical Physics and Optics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, CZ-12116 Prague 2, Czech Republic",American Chemical Society (ACS),JOUR
10.31823/d.26.1.7,"Šota, Stanislav",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.31823/d.26.1.4,"Vulić, Boris",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.1002/pssr.201700044,"Šmejkal, Libor","Institut für Physik; Johannes Gutenberg Universität Mainz; 55099 Mainz Germany; Institute of Physics ASCR, v.v.i.; Cukrovarnicka 10 162 53 Praha 6 Czech Republic; Faculty of Mathematics and Physics; Charles University in Prague; Ke Karlovu 3 121 16 Prague 2 Czech Republic",Wiley,JOUR
10.1063/1.5052686,"Trojanová, Z.","Faculty of Mathematics and Physics, Charles University, Prague, Ke Karlovu 3, 121 16 Praha 2, Czech Republic",AIP Publishing,JOUR
10.1063/1.4906526,"Jakubisova-Liskova, Eva","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague, Czech Republic",AIP Publishing,JOUR
10.1155/2014/175062,"Hroudová, Jana","Department of Psychiatry, First Faculty of Medicine, Charles University in Prague and General University Hospital in Prague, Ke Karlovu 11, 120 00 Prague 2, Czech Republic",Hindawi Limited,JOUR
10.1093/mnras/stz2354,"Zámečníková, Martina","Department of Chemical Physics and Optics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, CZ-12116 Prague 2, Czech Republic",Oxford University Press (OUP),JOUR
10.1002/adem.201900596,"Trojanová, Zuzanka",Faculty of Mathematics and PhysicsCharles University Ke Karlovu 3 121 16 Praha 2 Czech Republic,Wiley,JOUR
10.1002/jcc.26043,"Yourdkhani, Sirous","Department of Chemical Physics and OpticsFaculty of Mathematics and Physics, Charles University, Ke Karlovu 3,CZ‐12116, Prague 2 Czech Republic",Wiley,JOUR
10.1021/acs.jctc.9b00979,"Modrzejewski, Marcin","Department of Chemical Physics and Optics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, CZ-12116 Prague 2, Czech Republic; Faculty of Chemistry, University of Warsaw, Pasteura 1, 02-093 Warsaw, Poland",American Chemical Society (ACS),JOUR
10.31823/d.27.3.4,"Vulić, Boris",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.1111/fwb.13383,"Rugema, Edouard",Symbion Power Lake Kivu Ltd RSSB Headquarters Kigali Rwanda,Wiley,JOUR
10.1021/acs.jpcc.9b00783,"Zalom, Peter","Department of Condensed Matter Physics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 5, 121 16 Praha 2, Czech Republic; Institute of Physics, The Czech Academy of Sciences, Na Slovance 2, CZ-18221 Praha 8, Czech Republic",American Chemical Society (ACS),JOUR
10.1063/1.5110477,"Antalík, Andrej","J. Heyrovský Institute of Physical Chemistry, Academy of Sciences of the Czech Republic, v.v.i., Dolejškova 3, 18223 Prague 8, Czech Republic; Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague 2, Czech Republic",AIP Publishing,JOUR
10.31823/d.27.3.1,"Raguž, Ivica",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.1111/sum.12531,"Bashagaluke, Janvier Bigabwa","Department of Crop &amp; Soil SciencesKwame Nkrumah University of Science and Technology (KNUST) Kumasi Ghana; Faculty of AgronomyUniversité Catholique de Bukavu (UCB) Bukavu Democratic Republic of Congo; Institut Supérieur de Techniques de Développement, ISTD Kalehe Democratic Republic of Congo",Wiley,JOUR
10.31823/d.27.3.6,"Kalem, Hrvoje","Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku, Đakovo, Hrvatska",Catholic Faculty of Theology in Dakovo,JOUR
10.1002/pssr.201900376,"Chauvin, Adrien","Institut des Matériaux Jean Rouxel (IMN)Université de Nantes, CNRS 2 rue de la Houssinière, B.P. 32229 44322 Nantes cedex 3 France; Department of Condensed Matter PhysicsFaculty of Mathematics and PhysicsCharles University Ke Karlovu 5 121 16 Praha 2 Czech Republic",Wiley,JOUR
10.1080/13562517.2019.1636219,"De Grandi, Claudia","Department of Physics, Yale University, New Haven, CT, USA; Poorvu Center for Teaching and Learning, Yale University, New Haven, CT, USA",Informa UK Limited,JOUR
10.1063/1.5089723,"Kratochvilova, Marie","Center for Correlated Electron Systems, Institute for Basic Science, Seoul 08826, South Korea; Department of Physics and Astronomy, Seoul National University, Seoul 08826, South Korea; Faculty of Mathematics and Physics, Department of Condensed Matter Physics, Charles University, Ke Karlovu 5, 121 16 Prague 2, Czech Republic",AIP Publishing,JOUR
10.1155/2019/8474730,"Lucien, Wasingya","Department of Surgery, Kitovu Hospital, Uganda",Hindawi Limited,JOUR
10.31823/d.27.2.1,"Raguž, Ivica",Katolički bogoslovni fakultet u Đakovu Sveuličilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.1063/1.5119056,"Zukerstein, M.","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague 2, Czech Republic",AIP Publishing,JOUR
10.1063/1.5079817,"Paleček, David","Department of Chemical Physics, Lund University, P.O. Box 124, SE-22100 Lund, Sweden; Department of Chemical Physics, Charles University in Prague, Ke Karlovu 3, 121 16 Praha 2, Czech Republic",AIP Publishing,JOUR
10.31823/d.27.1.4,"Šokčević, Šimo",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.31823/d.27.1.3,"Šota, Stanislav",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.31823/d.27.1.5,"Kalem, Hrvoje",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.31823/d.27.1.2,"Jakobfi, Igor",Katolički bogoslovni fakultet u Đakovu Sveučilišta J. J. Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.1063/1.5123425,"Klimeš, Jiří","Department of Chemical Physics and Optics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, CZ-12116 Prague 2, Czech Republic; J. Heyrovský Institute of Physical Chemistry, Academy of Sciences of the Czech Republic, Dolejškova 3, CZ-18223 Prague 8, Czech Republic",AIP Publishing,JOUR
10.1021/acs.jpcc.8b08134,"Škoda, Jakub","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 121 16 Prague 2, Czech Republic",American Chemical Society (ACS),JOUR
10.32910/ep.69.5.2,"Soldić Frleta, Daniela",Fakultet za  menadžment u  turizmu i  ugostiteljstvu Sveučilišta u Rijeci,Croatian Economic Association,JOUR
10.1021/acsomega.8b03175,"Krupová, Monika","Institute of Organic Chemistry and Biochemistry, Academy of Sciences, Flemingovo náměstí 2, 16610 Prague, Czech Republic; Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague 2, Czech Republic",American Chemical Society (ACS),JOUR
10.1111/aje.12595,"Milenge Kamalebo, Héritier",Faculté des sciences Université de Kisangani Kisangani D R Congo; Centre de Recherches Universitaires du Kivu (CERUKI)/ISP Bukavu D R Congo,Wiley,JOUR
10.1002/bmb.21326,"Bowman, Larry L.",Department of Ecology and Evolutionary BiologyYale University New Haven Connecticut; Yale Poorvu Center for Teaching and LearningYale University New Haven Connecticut,Wiley,JOUR
10.1002/pssa.201900698,"Greben, Michael",Department of Chemical Physics and OpticsFaculty of Mathematics and PhysicsCharles University Ke Karlovu 3 121 16 Prague 2 Czechia,Wiley,JOUR
10.1111/jfb.14264,"Kisekelwa, T.","Royal Museum for Central Africa, Vertebrates section, Ichthyology, Leuvensesteenweg 13 Tervuren Belgium; KU Leuven, Laboratory of Biodiversity and Evolutionary Genomics, Charles Deberiotstraat 32, B‐3000 Leuven Belgium; Institut Supérieur Pédagogique, Unité d'Enseignement et de Recherche en Hydrobiologie Appliquée, Département de Biologie‐Chimie Bukavu Democratic Republic of the Congo",Wiley,JOUR
10.1093/mnras/stz3641,"Zámečníková, Martina","Department of Chemical Physics and Optics, Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, CZ-12116 Prague 2, Czech Republic",Oxford University Press (OUP),JOUR
10.31823/d.27.4.2,"Vuletić, Suzana",Katolički bogoslovni fakultet u Đakovu Sveučilišta Josipa Jurja Strossmayera u Osijeku,Catholic Faculty of Theology in Dakovo,JOUR
10.15493/saeon.ndlovu.10000003,R.E. Lerm,"SAEON Ndlovu Node, Phalaborwa Gate, Kruger National Park, Limpopo Province, South Africa, Email: rion@saeon.ac.za",South African Environmental Observation Network,DATA
10.1163/15709256-12341249,"Ganzevoort, R. Ruard","a) Professor of practical theology, VU University Amsterdam, the Netherlands b) Spiritual caregiver, Erasmusmc-Sophia Children’s Hospital Rotterdam, and PhD candidate, VU University Amsterdam, the Netherlands; 1 r.r.ganzevoort@vu.nl",Brill,JOUR
10.15493/saeon.ndlovu.10000002,R.E. Lerm,"SAEON Ndlovu Node, Phalaborwa Gate, Kruger National Park, Limpopo Province, South Africa, Email: rion@saeon.ac.za",South African Environmental Observation Network,DATA
10.15493/saeon.ndlovu.10000001,R.E. Lerm,"SAEON Ndlovu Node, Phalaborwa Gate, Kruger National Park, Limpopo Province, South Africa, Email: rion@saeon.ac.za",South African Environmental Observation Network,DATA
10.1111/oik.06665,"Schmitt, Melissa H.","School of Life Sciences, Univ. of KwaZulu‐Natal Private Bag X01 Scottsville 3209 South Africa; South African Environmental Observation Network Ndlovu Node Phalaborwa South Africa",Wiley,JOUR
10.1093/qjmed/hcz065,"Rimbi, M","Department of Medicine, Kitovu Hospital, Masaka, Uganda",Oxford University Press (OUP),JOUR
10.5281/zenodo.2653635,"Dr.K.B.S.D.Sarma*1, Mr. Pravin Akula2 & Mr. Javvadi Venkatesh3","*1&2Professor in the Department of Electronics and Communication Engineering, BVC Engineering College. Odalarevu 3Assistant Professor in the Department of Electronics and Communication Engineering, BVC Engineering College. Odalarevu",Zenodo,JOUR
10.5281/zenodo.2653636,"Dr.K.B.S.D.Sarma*1, Mr. Pravin Akula2 & Mr. Javvadi Venkatesh3","*1&2Professor in the Department of Electronics and Communication Engineering, BVC Engineering College. Odalarevu 3Assistant Professor in the Department of Electronics and Communication Engineering, BVC Engineering College. Odalarevu",Zenodo,JOUR
10.5281/zenodo.2556498,"A. Deevan Paul, G. Divyavani","Svu College of Pharmaceutical Sciences, Sv Univeristy, Tirupati.",Zenodo,JOUR
10.5281/zenodo.2556499,"A. Deevan Paul, G. Divyavani","Svu College of Pharmaceutical Sciences, Sv Univeristy, Tirupati.",Zenodo,JOUR
10.5281/zenodo.2526175,"A. Deevan Paul, P. Nagaraju","Svu College of Pharmaceutical Sciences, S.V. Univerisity, Tirupati.",Zenodo,JOUR
10.5281/zenodo.2526174,"A. Deevan Paul, P. Nagaraju","Svu College of Pharmaceutical Sciences, S.V. Univerisity, Tirupati.",Zenodo,JOUR
10.1177/1059601113492846,"Vinkenburg, Claartje J.","VU University, Amsterdam, Netherlands",SAGE Publications,JOUR
10.5465/19416520.2014.875669,"Cornelissen, Joep P.","Department of Management and Organization, VU University Amsterdam",Academy of Management,JOUR
10.1177/1368430212437211,"Blaker, Nancy M.","VU University Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1111/1911-3846.12052,"Quadackers, Luc",VU University Amsterdam,Wiley,JOUR
10.1161/01.str.0000190839.29234.50,"Kollen, Boudewijn","From the Research Bureau (B.K.), Isala klinieken, Zwolle, The Netherlands; Rehabilitation Centre “De Hoogstraat”, Rudolf Magnus Institute of Neuroscience, UMC Utrecht (I.v.d.P., E.L., G.K.), The Netherlands; and EMGO Institute/Department of KEB (J.T.), VU Medical Centre, Amsterdam, The Netherlands.",Ovid Technologies (Wolters Kluwer Health),JOUR
10.1177/1545968310384271,"Veerbeek, J. M.","VU University Medical Centre, Amsterdam, the Netherlands",SAGE Publications,JOUR
10.1177/1545968308323928,"Roerdink, Melvyn","Research Institute MOVE, Faculty of Human Movement Sciences, VU University, Amsterdam,",SAGE Publications,JOUR
10.5281/zenodo.3241773,"Erwich, Christiaan",VU University Amsterdam,Zenodo,COMP
10.5281/zenodo.3693074,"Erwich, Christiaan",VU University Amsterdam,Zenodo,COMP
10.1080/00140130801958642,"Hoozemans, Marco J.M.","a  Research Institute MOVE, Faculty of Human Movement Sciences, VU University Amsterdam , Van der Boechorststraat 9, 1081 BT, Amsterdam,  The Netherlands",Informa UK Limited,JOUR
10.1080/02691728.2017.1353656,"Radder, Hans","Department of Philosophy, VU University Amsterdam, Amsterdam, Netherlands",Informa UK Limited,JOUR
10.1111/idh.12078,"Supranoto, SC",Department of Periodontology; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam; VU University Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1093/scan/nsu053,"Riva, Paolo","Department of Psychology, University of Milano-Bicocca, Milano, Italy, 2Department of Psychology, University of Kentucky, Lexington, KY, USA, 3Department of Psychology, The Ohio State University, OH, USA, and 4Department of Communication Science, VU University Amsterdam, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1177/0146167211412196,"Kubacka, Kaska E.","VU University Amsterdam, Amsterdam, Netherlands",SAGE Publications,JOUR
10.1177/1464884912455899,"Meijer, Irene Costera","VU University Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1080/00140139.2010.535019,"Faber, Gert S.","a   Research Institute MOVE, Faculty of Human Movement Sciences , VU University , Van der Boechorststraat 9, 1081 BT, Amsterdam,  The Netherlands",Informa UK Limited,JOUR
10.1177/0093650211413571,"de Vries, Reinout E.","VU University Amsterdam, Amsterdam, Netherlands",SAGE Publications,JOUR
10.1177/1368430213497066,"Lehmann-Willenbrock, Nale","VU University Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1075/celcr.10,"Steen, Gerard J.",VU University Amsterdam,John Benjamins Publishing Company,BOOK
10.1075/celcr.14,"Steen, Gerard J.",VU University Amsterdam,John Benjamins Publishing Company,BOOK
10.1177/0146167211429449,"Ashton-James, Claire E.","VU University Amsterdam, Amsterdam, Netherlands",SAGE Publications,JOUR
10.1093/scan/nss144,"Fett, Anne-Kathrin J.","Department of Educational Neuroscience, Faculty of Psychology and Education, VU University of Amsterdam, Van der Boechorststraat 1, 1081 BT Amsterdam, The Netherlands, 2Department of Psychosis Studies, and 3Brain Imaging Analysis Unit, Centre of Neuroimaging Sciences, Institute of Psychiatry, King’s College London, De Crespigny Park, London SE5 8AF, UK; Department of Educational Neuroscience, Faculty of Psychology and Education, VU University of Amsterdam, Van der Boechorststraat 1, 1081 BT Amsterdam, The Netherlands, 2Department of Psychosis Studies, and 3Brain Imaging Analysis Unit, Centre of Neuroimaging Sciences, Institute of Psychiatry, King’s College London, De Crespigny Park, London SE5 8AF, UK",Oxford University Press (OUP),JOUR
10.1093/brain/awt076,"Gromann, Paula M","King’s College London, Institute of Psychiatry, Department of Psychosis Studies, CSI Lab, UK; Department of Educational Neuroscience, Faculty of Psychology and Education and LEARN! Institute, VU University Amsterdam, Van der Boechorststraat 1, 1081 BT Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1061/(asce)0733-9496(2008)134:4(386),"Baranowski, T. M.","Post-Doctoral Fellow, Oak Ridge Institute for Science and Education, Water Infrastructure Protection Division U.S. EPA/NHSRC, Mail Stop NG-16, 26 West Martin Luther King Dr., Cincinnati, OH 45268. E-mail: baranowski.terra@epa.gov; Associate Professor, Dept. of Civil and Environmental Engineering, Vanderbilt Univ., VU Station B 351831, Nashville, TN 37235 (corresponding author). E-mail: eugene.j.leboeuf@vanderbilt.edu",American Society of Civil Engineers (ASCE),JOUR
10.1111/apps.12082,"Akkermans, Jos",VU Amsterdam; The Netherlands,Wiley,JOUR
10.1191/0269216306pm1090ed,"Echteld, Michael A","Department of Public and Occupational Health, Institute for Research in                         Extramural Medicine, VU University Medical Centre, Amsterdam",SAGE Publications,JOUR
10.1093/ije/dyx227,"Rutters, Femke","Department of Epidemiology and Biostatistics, VU Medical Centre, Amsterdam, The Netherlands; Amsterdam Public Health Research Institute, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1177/8756972819832782,"Havermans, Liselore","Vrije Universiteit (VU) Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1177/1745691613488533,"Balliet, Daniel","Department of Social and Organizational Psychology, VU University Amsterdam, the Netherlands",SAGE Publications,JOUR
10.1093/schbul/sbx031,"Nivard, Michel G","Biological Psychology, VU University, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1111/imm.12163,"Peferoen, Laura",Pathology Department; VU University Medical Centre; Amsterdam the Netherlands,Wiley,JOUR
10.1111/nyas.12200,"Aerts, Jeroen C.J.H.",VU University Amsterdam; Institute for Environmental Studies (IVM); Amsterdam; the Netherlands,Wiley,JOUR
10.1002/oa.1273,"Hollund, H. I.",Institute for Geo- and Bioarchaeology; VU University Amsterdam; 1081 HV; Amsterdam; The Netherlands,Wiley,JOUR
10.1002/oa.2376,"Hollund, H. I.",Institute for Geo- and Bioarchaeology; the VU University; De Boelelaan 1085 1081 HV Amsterdam the Netherlands,Wiley,JOUR
10.3141/2330-10,"Dobbins, James P.","Vanderbilt University, VU Station B-35 1831, Nashville, TN 37235-1831.",SAGE Publications,JOUR
10.1021/pr301201x,"Switzar, Linda","AIMMS Division of BioMolecular Analysis, Faculty of Sciences, VU University Amsterdam, De Boelelaan 1083, 1081 HV, Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1177/1948550615595272,"Wu, Junhui","Department of Social and Organizational Psychology, VU University Amsterdam, Amsterdam, the Netherlands",SAGE Publications,JOUR
10.1177/0305735613517285,"Buma, Lori A.","MOVE Research Institute Amsterdam, VU University, The Netherlands",SAGE Publications,JOUR
10.1258/td.2009.090068,"van Amelsfoort, J J C","Department of Surgery, VU University Medical Centre Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1089/ten.teb.2014.0704,"Klumpers, Darinka D.","School of Engineering and Applied Sciences, Harvard University, Cambridge, Massachusetts.; Wyss Institute for Biologically Inspired Engineering, Harvard University, Boston, Massachusetts.; Department of Orthopedic Surgery, VU University Medical Centre MOVE Research Institute, Amsterdam, The Netherlands.",Mary Ann Liebert Inc,JOUR
10.1104/pp.17.00904,"Bielczynski, Ludwik W.","Biophysics of Photosynthesis/Energy, Faculty of Sciences, Department of Physics and Astronomy, VU Amsterdam, 1081 HV Amsterdam, The Netherlands",American Society of Plant Biologists (ASPB),JOUR
10.1002/jcb.25821,"Sprangers, Sara",Department of Oral Cell Biology and Functional Anatomy; MOVE Research Institute; University of Amsterdam and VU University; Academic Center for Dentistry Amsterdam (ACTA); Amsterdam The Netherlands,Wiley,JOUR
10.1509/jm.74.2.105,"Mooi, Erik A.",VU University Amsterdam,SAGE Publications,JOUR
10.1002/dmrr.2706,"Peters, E. J.",VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1152/jn.00434.2015,"van Dieën, Jaap H.","MOVE Research Institute Amsterdam, Department of Human Movement Sciences, VU University Amsterdam, Amsterdam, The Netherlands",American Physiological Society,JOUR
10.1002/job.2047,"Solinger, Omar N.",VU University Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1177/1753193410370926,"Berkhout, M.J.","Department of Plastic, Reconstructive and Hand Surgery,VU University Hospital, Amsterdam, The Netherlands, and the Biomechanics Laboratory,Division of Orthopedic Research, Mayo Clinic, Rochester, MN, USA, Berkhout@gmail.com",SAGE Publications,JOUR
10.1111/padm.12138,"TEELKEN, CHRISTINE",Department of Organization Sciences; VU University Amsterdam; The Netherlands,Wiley,JOUR
10.1093/humupd/dmx034,"Simsek, Melek","Department of Gastroenterology and Hepatology, VU University Medical Centre (VUmc), PO Box 7075, 1081 HZ, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1111/j.1365-2036.2012.05154.x,"Tack, G. J.",Department of Gastroenterology and Hepatology; VU University Medical Centre; Amsterdam; The Netherlands,Wiley,JOUR
10.1177/0263774x16689370,"Merkus, Sander","VU University Amsterdam, Netherlands",SAGE Publications,JOUR
10.1111/cod.12327,"Muris, Joris","Department of Dental Materials Science; Academic Centre for Dentistry Amsterdam, University of Amsterdam and VU University Amsterdam; Gustav Mahlerlaan 3004 1081 LA Amsterdam The Netherlands",Wiley,JOUR
10.1558/jasr.v27i2.178,"Ganzevoort, Reinder Ruard",VU University Amsterdam (NL),Equinox Publishing,JOUR
10.1046/j.1525-1594.2000.06502.x,"Oe, Barry","Cardiovascular Research School ICaR‐VU, Department of Internal Medicine, Academic Hospital Vrije Universiteit, Amsterdam;",Wiley,JOUR
10.1111/roiw.12237,"Dang, Hai-Anh H.","World Bank and VU University, Amsterdam",Wiley,JOUR
10.1177/0969733011400301,"Landeweer, Elleke GM","VU University Medical Centre, The Netherlands,",SAGE Publications,JOUR
